name,screen_name,followers_count,fav_avg,rt_avg
Lynn Jenkins,RepLynnJenkins,20953,52,142
Katherine Clark,RepKClark,32773,566,141
Rep. Doug LaMalfa,RepLaMalfa,7016,26,139
Jerry McNerney,RepMcNerney,15490,4,138
Rep. Vicky Hartzler,RepHartzler,14979,58,137
Larry Hogan,LarryHogan,31898,15,137
Darin LaHood,RepLaHood,5063,101,136
Rep. Sam Graves,RepSamGraves,11758,14,134
Rep. Elise Stefanik,RepStefanik,10656,47,133
Rep. Ron Kind,RepRonKind,10846,37,132
Rep. Chris Collins,RepChrisCollins,11421,34,131
Dave Joyce,RepDaveJoyce,11198,36,129
Rep. Chris Smith,RepChrisSmith,9451,74,127
Rick W. Allen,RepRickAllen,5100,31,127
Rep Tim Walberg,RepWalberg,12870,19,126
Rep. Tom Marino,RepTomMarino,19189,46,125
Rep. Randy Hultgren,RepHultgren,14074,21,125
Raul Ruiz,CongressmanRuiz,9176,112,124
Dr. Neal Dunn,DrNealDunnFL2,1882,88,124
Judge Carter,JudgeCarter,13253,26,123
Bill Johnson,RepBillJohnson,24489,19,123
Governor Rick Snyder,onetoughnerd,61559,134,122
Gina Raimondo,GinaRaimondo,41732,148,119
Rep. Jason Smith,RepJasonSmith,8063,42,119
US Rep. Mike Turner,RepMikeTurner,14065,16,116
Rep. Suzan DelBene,RepDelBene,15236,94,115
Rep. Jim Renacci,RepJimRenacci,21518,13,115
Congressman Ami Bera,RepBera,19540,76,113
Senator Jim Risch,SenatorRisch,32257,49,113
Gary Palmer,USRepGaryPalmer,6486,45,113
Rep. Don Bacon,RepDonBacon,1775,7,113
Kim Reynolds,KimReynoldsIA,13182,42,111
Rep. Luke Messer,RepLukeMesser,10097,42,111
Tom Graves,RepTomGraves,15177,25,111
David Scott,repdavidscott,13951,9,111
Rep. Lou Barletta,RepLouBarletta,16566,137,109
Rep. David Valadao,RepDavidValadao,9557,64,109
Jose E. Serrano,RepJoseSerrano,20672,59,109
Governor Mark Dayton,GovMarkDayton,75992,12,109
Hakeem Jeffries,RepJeffries,26246,33,107
Sen. John Barrasso,SenJohnBarrasso,51751,31,107
Bruce Rauner,GovRauner,19862,231,106
Senator Roger Wicker,SenatorWicker,42391,5,105
Eric Holcomb,HolcombForIN,6877,5,105
Mike Doyle,USRepMikeDoyle,12143,165,103
Jacky Rosen,RosenforNevada,1524,94,103
Sen. Lamar Alexander,SenAlexander,54887,56,103
Sen. Lisa Murkowski,lisamurkowski,63304,14,102
Tom Rooney,TomRooney,18456,8,102
John W. Hickenlooper,GovofCO,6186,192,101
Cory Gardner,SenCoryGardner,31342,76,98
Henry McMaster,henrymcmaster,9568,55,98
Matt Cartwright,RepCartwright,7891,12,97
Tom Reed,RepTomReed,12345,23,96
Mike Conaway,ConawayTX11,9138,6,94
Rep. Brian Mast,RepBrianMast,3413,91,93
Governor Phil Scott,GovPhilScott,4886,165,92
Jeb Hensarling,RepHensarling,19833,49,92
Rep. Daniel Lipinski,RepLipinski,8061,35,92
Frank LoBiondo,RepLoBiondo,12017,37,91
Gov. Dennis Daugaard,SDGovDaugaard,14198,2,91
Rep. Dan Kildee,RepDanKildee,26164,417,90
Steve Pearce,RepStevePearce,10048,24,89
Johnny Isakson,SenatorIsakson,36271,152,87
Rep. Pete King,RepPeteKing,26063,65,87
Sherrod Brown,SenSherrodBrown,115080,906,86
Senator Angus King,SenAngusKing,41387,13,85
Tom McClintock,RepMcClintock,11989,154,84
Martha McSally,RepMcSally,9184,106,84
Tom Suozzi,RepTomSuozzi,2171,14,84
Rep. Bradley Byrne,RepByrne,12416,64,82
Rep. Tom O'Halleran,RepOHalleran,2974,81,81
Rep. Lloyd Smucker,RepSmucker,4814,17,79
G. K. Butterfield,GKButterfield,13132,93,78
Governor Mary Fallin,GovMaryFallin,30251,81,78
Rep. Charlie Dent,RepCharlieDent,11619,39,78
Governor Bill Walker,AkGovBillWalker,5870,66,77
Rep. Chris Stewart,RepChrisStewart,8437,18,77
Rep. Richard Neal,RepRichardNeal,11208,59,75
Senator Mike Crapo,MikeCrapo,37726,39,74
Bill Keating,USRepKeating,10880,58,73
Rep. Mike Coffman,RepMikeCoffman,25163,55,72
Luther Strange,lutherstrange,7565,26,72
Rep. David Kustoff,repdavidkustoff,1705,13,72
Senator Deb Fischer,SenatorFischer,37260,71,71
Trent Kelly,RepTrentKelly,2515,58,71
Sensenbrenner Press,JimPressOffice,4842,43,71
Drew Ferguson,RepDrewFerguson,1512,39,69
Albio Sires,RepSires,14423,31,69
Rep. Rob Wittman,RobWittman,23521,8,68
Governor Jim Justice,WVGovernor,22267,87,67
Steve Stivers,RepSteveStivers,21903,28,67
SenDanSullivan,SenDanSullivan,10220,82,66
Markwayne Mullin,RepMullin,11413,42,66
Rep. Kay Granger,RepKayGranger,13594,9,66
Sen. Heidi Heitkamp,SenatorHeitkamp,46829,152,65
James Comer,KYComer,8703,107,65
Mark Warner,MarkWarner,130502,645,64
Gov. Gary Herbert,GovHerbert,24830,99,64
Mike Enzi,SenatorEnzi,40469,48,63
George Holding,RepHolding,9750,17,63
Senator Tom Carper,SenatorCarper,50676,273,62
Brian Fitzpatrick,RepBrianFitz,2500,69,61
Mac Thornberry Press,MacTXPress,9243,11,61
Senator John Boozman,JohnBoozman,44936,97,59
Sam Brownback,govsambrownback,17513,68,59
John Faso,RepJohnFaso,3234,56,59
Rep. Adrian Smith,RepAdrianSmith,7498,27,59
