cohort_week,weekly_user_count,cumulative_user_count
2016-09-12T00:00:00.000+0000,1,496
2016-09-19T00:00:00.000+0000,2,498
2016-12-19T00:00:00.000+0000,1,499
2016-12-26T00:00:00.000+0000,2,501
2017-01-02T00:00:00.000+0000,35,536
2017-01-09T00:00:00.000+0000,3,539
2017-01-16T00:00:00.000+0000,2,541
2017-02-06T00:00:00.000+0000,1,542
2017-02-13T00:00:00.000+0000,1,543
2017-04-10T00:00:00.000+0000,1,544
2017-04-17T00:00:00.000+0000,1,545
