name,followers_count,friends_count
Rep. Ro Khanna,5675,201
Tom Emmer,5557,208
TeamMoulton,5537,3152
Rep. Evan Jenkins,5329,584
Rep. Bruce Poliquin,5236,342
Raja Krishnamoorthi,5136,876
Rick W. Allen,5100,125
Rep. Brad Schneider,5100,715
Rep. Garret Graves,5087,748
Darin LaHood,5063,320
Rep. Shea-Porter,4929,455
Governor Phil Scott,4886,445
Rep. Alex Mooney,4853,459
Sensenbrenner Press,4842,590
Rep. Lloyd Smucker,4814,493
Rep. John Moolenaar,4692,340
Doug Burgum,4630,272
Rob Woodall,4626,639
Governor David Ige,4574,671
Donald Norcross,4456,1091
Captain Clay Higgins,4442,112
Governor Matt Mead,4196,24
David Rouzer,4168,392
Nanette D. Barragán,4134,365
Rep John Duncan Jr.,4024,350
Rep. Mike Gallagher,3747,299
John Kennedy,3722,1204
Rep. Val Demings,3498,180
Rep. Brian Mast,3413,452
John Faso,3234,120
Chris Sununu,3194,100
Rep. Glenn Grothman,3181,208
Rep. Jimmy Panetta,3105,341
Jason Lewis,3021,138
Rep. Donald McEachin,2992,932
Rep. Tom O'Halleran,2974,4688
Rep. Salud Carbajal,2936,578
Rep. Charlie Crist,2695,167
Trent Kelly,2515,2346
Brian Fitzpatrick,2500,128
Rob Bishop,2473,95
Dr. Roger Marshall,2339,189
Dan Donovan,2326,341
Jim Banks,2238,437
Rep Andy Biggs,2185,1041
Tom Suozzi,2171,71
Rep Josh Gottheimer,2164,49
Rep. Blunt Rochester,2135,249
Tom Garrett,2080,178
Trey Hollingsworth,1966,440
Dr. Neal Dunn,1882,109
Rep. Arrington,1865,1019
Rep. Don Bacon,1775,308
Rep. David Kustoff,1705,308
Francis Rooney,1669,164
Ted Budd,1586,114
Congresswoman Tenney,1583,117
Rep. Paul Mitchell,1575,241
Jacky Rosen,1524,346
Drew Ferguson,1512,99
Rep. Jack Bergman,1479,309
Lou Correa,1406,0
Collin Peterson,1348,286
Rep. Mike Johnson,1220,359
John Rutherford,1131,326
US Rep. Al Lawson Jr,1110,676
Rep. Ron Estes,571,57
U.S.Rep Gonzalez,437,10
Greg Harper,41,6
Yvette Clarke,41,0
tiberipress,23,26
Jasmine Coleman,4,0
