name,created_at,tweet,likes
Donald J. Trump,2016-12-05 16:00:27,"If the press would cover me accurately &amp; honorably, I would have far less reason to ""tweet."" Sadly, I don't know if that will ever happen!",139541
Donald J. Trump,2017-02-05 20:39:05,Just cannot believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,138867
Donald J. Trump,2016-11-22 17:10:47,I am seriously considering Dr. Ben Carson as the head of HUD. I've gotten to know him well--he's a greatly talented person who loves people!,138834
Donald J. Trump,2017-02-04 21:44:49,"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision",137631
Donald J. Trump,2016-11-24 15:11:58,"I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROGRESS - Will know soon!",137576
Donald J. Trump,2017-03-03 12:19:12,It is so pathetic that the Dems have still not approved my full Cabinet.,137466
Donald J. Trump,2017-04-11 12:03:43,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them! U.S.A.",137061
Donald J. Trump,2017-01-18 22:21:02,"Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful letter!",136373
Donald J. Trump,2017-04-08 14:54:24,"Congratulations to our great military men and women for representing the United States, and the world, so well in the Syria attack.",135873
Donald J. Trump,2017-05-14 15:13:45,Wishing @FLOTUS Melania and all of the great mothers out there a wonderful day ahead with family and friends! Happy #MothersDay,135861
Donald J. Trump,2017-01-30 12:20:49,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,134571
Bernie Sanders,2017-01-20 14:26:10,"The entire First Family represented our country with extraordinary dignity, grace and civility over the last eight years. Thank you.",134118
Donald J. Trump,2016-12-18 21:54:40,"If my many supporters acted and threatened people like those who lost the election are doing, they would be scorned &amp; called terrible names!",133622
Donald J. Trump,2017-01-25 12:17:01,I will be making my Supreme Court pick on Thursday of next week.Thank you!,132816
Donald J. Trump,2017-01-24 17:49:17,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.,132499
Donald J. Trump,2017-03-04 11:52:54,"I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!",132372
Donald J. Trump,2017-01-30 12:16:30,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,.....",131549
Donald J. Trump,2017-02-25 22:02:22,"Congratulations to Thomas Perez, who has just been named Chairman of the DNC. I could not be happier for him, or for the Republican Party!",131250
Donald J. Trump,2016-11-23 00:24:46,Bus crash in Tennessee so sad &amp; so terrible. Condolences to all family members and loved ones. These beautiful children will be remembered!,131191
Donald J. Trump,2017-01-25 12:10:01,"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and....",130591
Donald J. Trump,2017-01-13 11:33:24,"The ""Unaffordable"" Care Act will soon be history!",130250
Donald J. Trump,2017-02-05 00:48:12,The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,130218
President Trump,2017-03-01 03:08:00,"We are one people, with one destiny. We all bleed the same blood. We all salute the same flag. And we are all made by the same God.",129580
John Lewis,2017-05-04 18:57:20,Never have I seen legislative action that reveals such clear disdain for the human dignity of the most vulnerable among us.,129339
Donald J. Trump,2017-01-26 11:04:24,"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!",129110
Donald J. Trump,2017-02-15 13:13:10,"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!",129058
Donald J. Trump,2017-02-16 11:34:46,Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!,128410
Donald J. Trump,2017-01-15 19:00:21,"For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!",128342
Donald J. Trump,2017-01-12 14:22:21,.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,128239
Donald J. Trump,2017-01-22 12:35:09,"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!",128199
Donald J. Trump,2017-01-31 00:45:50,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,127932
Donald J. Trump,2017-03-15 11:02:40,"Can you imagine what the outcry would be if @SnoopDogg, failing career and all, had aimed and fired the gun at President Obama? Jail time!",127916
Donald J. Trump,2017-01-30 13:43:25,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),127656
Donald J. Trump,2017-03-05 11:40:20,"Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I'll have more flexibility?"" @foxandfriends",126868
Donald J. Trump,2016-12-26 23:32:28,The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!,126830
Donald J. Trump,2017-02-16 12:02:59,The spotlight has finally been put on the low-life leakers! They will be caught!,126755
Bernie Sanders,2017-05-04 20:15:32,Donald Trump and Republicans just celebrated voting to let thousands of Americans die so that billionaires get tax breaks. Think about that.,126740
Donald J. Trump,2017-01-01 05:00:10,TO ALL AMERICANS- #HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we work together to #MAGA🇺🇸,126732
Elizabeth Warren,2017-02-09 01:28:20,There’s no Rule 19 to silence me from talking about Jeff Sessions anymore. So let me say loudly &amp; clearly: This is just the beginning.,126631
Donald J. Trump,2016-11-15 13:40:29,"The Electoral College is actually genius in that it brings all states, including the smaller ones, into play. Campaigning is much different!",126532
Donald J. Trump,2016-07-19 23:52:59,Such a great honor to be the Republican Nominee for President of the United States. I will work hard and never let you down! AMERICA FIRST!,126454
Donald J. Trump,2017-02-03 11:41:11,"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!",126402
Donald J. Trump,2017-05-12 13:20:04,"China just agreed that the U.S. will be allowed to sell beef, and other major products, into China once again. This is REAL news!",126223
Donald J. Trump,2017-02-02 17:29:16,"Thank you, @Samsung! We would love to have you!",126220
Donald J. Trump,2017-02-06 12:07:55,"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!",126013
Donald J. Trump,2017-01-19 12:52:22,"""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.",125681
Donald J. Trump,2016-11-13 14:16:46,"Wow, the @nytimes is losing thousands of subscribers because of their very poor and highly inaccurate coverage of the ""Trump phenomena""",125529
Donald J. Trump,2017-03-07 13:46:28,I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!,125047
Donald J. Trump,2017-05-11 19:55:34,We finally agree on something Rosie.,124682
Donald J. Trump,2017-02-25 21:53:21,I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!,124622
Donald J. Trump,2017-01-02 14:40:10,"Well, the New Year begins. We will, together, MAKE AMERICA GREAT AGAIN!",124554
Donald J. Trump,2017-02-02 11:25:40,Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,124280
Donald J. Trump,2017-03-04 11:49:00,"Is it legal for a sitting President to be ""wire tapping"" a race for president prior to an election? Turned down by court earlier. A NEW LOW!",124168
Donald J. Trump,2017-05-18 11:52:14,This is the single greatest witch hunt of a politician in American history!,124152
Donald J. Trump,2016-11-08 21:18:04,I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!,124098
Donald J. Trump,2017-01-09 22:32:33,An old picture with Nancy and Ronald Reagan.,124084
Donald J. Trump,2017-01-09 11:27:50,"Meryl Streep, one of the most over-rated actresses in Hollywood, doesn't know me but attacked last night at the Golden Globes. She is a.....",123888
Donald J. Trump,2017-03-03 22:13:10,MAKE AMERICA GREAT AGAIN!,123542
Donald J. Trump,2016-11-13 15:28:52,"Governor John Kasich of the GREAT, GREAT, GREAT State of Ohio called to congratulate me on the win. The people of Ohio were incredible!",123487
Donald J. Trump,2017-02-08 19:39:51,'Immigration Ban Is One Of Trump's Most Popular Orders So Far',123406
Donald J. Trump,2017-03-07 14:14:03,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!",122618
Donald J. Trump,2016-12-15 14:24:29,"If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?",122556
Donald J. Trump,2017-03-03 21:02:23,"I hereby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it.",122535
Donald J. Trump,2017-02-02 11:34:36,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,122018
